code,name,date,close,pct_change,close_to_high,vol_ratio20,vol_ratio50,macd_hist,score,reasons
601088,中国神华,2026-06-04,49.02,0.0035,0.9843,1.007,1.069,0.8827,7.0,????????????20???????????MACD????
002806,华锋股份,2026-06-04,20.68,0.1,1.0,1.006,1.634,0.9384,7.0,?????????20????????60??????????
603986,兆易创新,2026-06-04,529.31,0.0753,0.9838,0.997,1.231,3.5655,7.0,??????????????20????????60?????????????
002384,东山精密,2026-06-04,237.8,0.0617,0.9718,0.925,0.974,-4.0253,7.0,??????????????20????????60?????????????
600941,中国移动,2026-06-04,100.16,0.0,0.9969,0.849,1.014,0.3166,7.0,?????????????????MACD?3???
002484,江海股份,2026-06-04,96.35,0.1,1.0,0.675,0.792,6.0973,7.0,?????????20????????60???????????MACD???????????
002585,双星新材,2026-06-04,11.8,0.0997,1.0,0.592,0.98,0.3416,7.0,?????????20????????60??????????
002404,嘉欣丝绸,2026-06-04,7.43,-0.0159,0.9738,3.223,4.487,0.2441,6.0,??????????????????MACD?3???
603109,神驰机电,2026-06-04,21.86,0.0297,0.9803,3.147,2.43,0.1875,6.0,???????????????MACD?3???
600596,新安股份,2026-06-04,14.32,-0.0056,0.9828,2.17,3.104,0.3662,6.0,???????????????MACD????
605555,德昌股份,2026-06-04,16.57,0.0191,0.9875,2.134,2.599,-0.0172,6.0,????????????????????????
603120,肯特催化,2026-06-04,55.86,0.0693,0.9722,2.042,3.584,-0.5922,6.0,????????????????????????
600198,大唐电信,2026-06-04,9.25,0.044,1.0,1.815,3.189,-0.0314,6.0,??????????????????????????
600226,亨通股份,2026-06-04,6.71,0.1,1.0,1.797,2.676,0.0099,6.0,????????????????????MACD?3???
002096,易普力,2026-06-04,11.77,0.0147,0.9849,1.791,1.878,0.407,6.0,?????????????????20??????MACD????
603339,四方科技,2026-06-04,13.61,0.0421,1.0,1.755,2.147,-0.0253,6.0,??????????????????????????
600482,中国动力,2026-06-04,39.81,0.1,1.0,1.743,1.579,0.1113,6.0,????????????????????MACD?3???
600348,华阳股份,2026-06-04,9.88,0.0186,0.989,1.574,1.531,0.1299,6.0,?????????????????????????MACD????
601377,兴业证券,2026-06-04,5.85,0.0139,0.9882,1.512,1.54,0.0009,6.0,?????????????????MACD?3???
002624,完美世界,2026-06-04,13.92,0.0419,0.9844,1.501,1.36,0.0072,6.0,?????????????????MACD?3???
603588,高能环境,2026-06-04,13.77,0.0633,0.9766,1.466,1.058,0.1501,6.0,?????????????????MACD?3???
600821,金开新能,2026-06-04,8.62,0.0448,0.9863,1.393,0.983,0.0397,6.0,??????????????MACD?3???
002669,康达新材,2026-06-04,16.55,0.0318,0.9916,1.391,2.471,0.3075,6.0,??????????????????
000065,北方国际,2026-06-04,12.63,0.0369,0.9883,1.377,0.742,0.0484,6.0,??????????????MACD?3???
000600,建投能源,2026-06-04,12.57,0.0096,0.9684,1.369,2.052,0.398,6.0,???????20????????60??????????
000552,甘肃能化,2026-06-04,2.9,0.0,0.9831,1.366,0.965,0.0416,6.0,????????????20??????????????MACD????
601916,浙商银行,2026-06-04,3.06,0.0,0.9903,1.345,1.28,0.0212,6.0,?????????????????MACD????
603500,祥和实业,2026-06-04,11.12,0.0999,1.0,1.295,1.888,0.1737,6.0,?????????20??????????
601233,桐昆股份,2026-06-04,20.49,0.0029,0.9918,1.241,1.164,0.0174,6.0,????????????????????MACD?3???
000050,深天马Ａ,2026-06-04,8.24,0.03,0.988,1.16,1.659,0.1195,6.0,??????????????????????MACD????
002637,赞宇科技,2026-06-04,12.86,0.0086,0.9908,1.096,1.327,0.3348,6.0,????????????????????MACD?3???
600522,中天科技,2026-06-04,46.06,0.024,0.9763,1.082,1.399,-0.3207,6.0,????????????20????????60?????????????
600098,广州发展,2026-06-04,8.11,0.0062,0.9842,1.029,1.213,0.1545,6.0,????????????20??????????
003036,泰坦股份,2026-06-04,74.86,0.1001,1.0,0.69,0.641,2.8909,6.0,?????????20????????60?????????????????
